,,CODIFICACIÓN,,,ETIQUETADO,,,,,
146,"Eliminación total de la cesión de trabajadores con ánimo de lucro, salvo en unos márgenes razonables de contratación, que sólo han servido para generar empleo en precario y como herramienta para legalizar la concatenación de empleo temporal.",000,,,,,,,,
147,"Ampliación de los recursos y dotación de los programas europeos existentes relacionados con la movilidad geográfica bajo un prisma de ocio cultural y conocimiento, no de turismo, así como de los recursos a la red de albergues y alojamientos juveniles, asegurando unas mínimas condiciones equiparables a todos los territorios.",000,,,,,,,,
148,"Intervención mediante subvenciones directas para la reducción de costes y el acceso a salas de cine, mediante un carné o financiación de los estados de aquellos cortometrajes, largometrajes o documentales de producción europea, o que estén financiados por cualquier entidad pública de los estados miembros para la juventud menor de 30 años.",000,,,,,,,,
149,"Fomento, apoyo y desarrollo de plataformas culturales libres. Cualquier subvención pública a cualquier manifestación artística, cinematográfica, musical o literaria debe ir asociada a su libre distribución cultural, sin copyright, avanzando hacia una sociedad donde la cultura sea realmente patrimonio de todos y todas, regida por el principio del arte y no por el principio económico. Éste mismo criterio debe establecerse a la hora de la cesión de cualquier espacio público europeo, independientemente de cual sea la entidad pública de la que dependa.",000,,,,,,,,
150,"Establecimiento europeo de redes de turismo social, ecológico e integrado con las diferentes culturas que component la realidad europea. Fomento de un Nuevo modelo turístico basado en la comunicación cultural.",000,,,,,,,,
151,"La aprobación de una normativa europea que se integre en los reglamentos de todas las estructuras de representación europea y estatales, que asegure al menos, una presencia de un 15% de jóvenes entre los y las miembros menores de 30 años.",000,,,,,,,,
152,"Creación de la figura de comisario de juventud en todos los órganos dependientes del Parlamento, que no sea autónomo, sino como elemento, especialmente dentro de la Comisión Europea, que se sume a los veintisiete ya existentes.",000,,,,,,,,
153,Promover una Ley Integral para fomentar el asociacionismo que incluya a todos los países y que cuente con una clara dotación europea que permita ponerla en marcha.,C102,,,ASOCIACIONISMO,FINANCIACIÓN,,,REGULACIÓN,
154,Desarrollar análisis sobre lo concreto en materia de juventud para proponer en lo global a través de la información y contenidos de la Agencia EUROSTAT.,000,,,,,,,,
155,"Combatir toda forma de discriminación, segregación de las mujeres, en todas las estructuras de participación ya sean de tipo educativo, social, religioso, etc.",C102,,,IGUALDAD DE GÉNERO,,,,,
156,Desarrollo de una política económica pública de respaldo a los proyectos cooperativos y asociativos como nuevos agentes económicos en la sociedad europea. Proyectos que deben fomentarse e impulsarse desde las mismas instituciones educativas donde los y las jóvenes reciben la formación académica necesaria para introducirse en la vida social.,000,,,,,,,,
157,"Promoción del asociacionismo y la participación juvenil como instrumentos y herramientas críticas, transformadoras y participativas, no como meros parches sociales de los déficit del llamado estado de Bienestar.",C102,,,ASOCIACIONISMO,,,,,
158,"Creación de una institución europea equivalente a un Observatorio de la Juventud europea, que sirva especialmente como plataforma de estudio y cuando sea necesario de denuncia de situaciones discriminatorias de los y las jóvenes, así como elaboración de comparativas entre países.",000,,,,,,,,
159,"Eliminación de cualquier mecanismo asociativo juvenil o cualquier institución educativa, participativa y asociativa que introduzca diferenciaciones por sexo, raza o identidad sexual. Garantía plena de total equidad en todos los aspectos.",000,,,,,,,,
160,"Establecer la edad mínima para poder ejercer el voto a los 16 años para cualquier tipo de elecciones en los estados de la Unión, equiparando este derecho político a otros derechos, libertades y deberes, como son el del trabajo, tener responsabilidad penal, conducir ciertos vehículos motorizados o poder usar armas.",000,,,,,,,,
161,"Construir elementos políticos de regulación de la vivienda como derecho, y no como bien de consumo, para la juventud.",B103,,,GESTIÓN,ACCESO,,,VIVIENDA,
162,Red de vivienda pública para alquiler a nivel europeo con un coste porcentual del salario recibido que no supere el 20% de los ingresos del solicitante para facilitar el acceso a la vivienda a las y los jóvenes con menos recursos económicos.,B103,,,GESTIÓN,ACCESO,,,VIVIENDA,
163,"Directiva europea que unifique el régimen de pensiones y del que sea garante la propia Unión, para que en ningún país se ponga en riesgo los derechos adquiridos por los mayores. Es imprescindible equiparar las pensiones a las que se perciben en los países más desarrollados.",000,,,,,,,,
164,Pensiones contributivas que nunca estén por debajo de las necesidades económicas de los ciudadanos. La actual crisis no puede afectar a aquellos que con su trabajo y aportaciones económicas han construido lo que se ha dado en llamar la “Europa del bienestar”.,000,,,,,,,,
165,"Pensiones no contributivas equiparables al salario mínimo interprofesional, de manera que igualmente garanticen las necesidades básicas de los pensionados.",000,,,,,,,,
166,"Jubilación a los 60 años. La vida laboral no deberá supercar, en ningún caso, los cuarenta años de dedicación y el derecho a la jubilación se podrá ejercer, con carácter general, a partir de los 60 años de edad. En profesiones peligrosas, tóxicas o penosas, esta jubilación deberá estar sometida a una regulación especial.",000,,,,,,,,
167,"Fomento de la participación en “la cosa pública”. Las personas mayores tienen los mismos derechos de participación que el resto de la ciudadanía y pueden contribuir con su experiencia y actividad al bienestar colectivo. Los poderes públicos han de promover su participación efectiva en la toma de decisiones sobre los asuntos que les conciernen, particularmente en aquellas materias que afectan a su desarrollo social y económico",000,,,,,,,,
168,"La actuación de IU se centrará en el desarrollo de la personalidad de los niños y las niñas para cubrir las necesidades de juego, esparcimiento, creatividad, y el encuentro con los iguales (los otros niños y niñas) ya que la escuela y la familia no abarcan todas estas necesidades.",000,,,,,,,,
169,"Defendemos una educación pública europea de calidad: gratuita, igualitaria, coeducativa, laica, plural y democrática, por ser la única que garantiza la igualdad de derechos y oportunidades para todos y todas; promueve la participación democrática de los distintos sectores implicados en el proceso educativo; respeta la libertad de conciencia y de creencias; atiende a la diversidad del alumnado y se compromete con el interés común y el servicio público, al margen de intereses particulares ligados al adoctrinamiento ideológico o al negocio económico.",B103,,,ADECUACIÓN,DERECHOS,,,EDUCACIÓN,
170,"Carta de Derechos Europeos sobre Educación, que asegure el ejercicio del derecho a la educación en condiciones de igualdad en todos los países de la UE, y que incluya una declaración expresa contra todo tipo de adoctrinamiento religioso en el ámbito escolar, así como la prohibición de los símbolos religiosos en los espacios públicos educativos.",C102,,,"VALORES, DERECHOS Y LIBERTADES",SECULARISMO,,,EDUCACIÓN,
171,"Establecimiento de una cuantía mínima de gasto público en educación (en torno al 6% del PIB) en todos los sistemas educativos europeos, y constitución de un fondo de cohesión educativo que corrija los desequilibrios y desigualdades territoriales.",B102,,,GESTIÓN,EDUCACIÓN,,,,
172,"Consejo Escolar Europeo, como órgano de participación democrática de la comunidad educativa de la UE, que analice, proponga medidas y coordine el sistema educativo europeo.",B103,,,GESTIÓN,DERECHOS,,,EDUCACIÓN,
173,"Establecimiento para toda la UE del período obligatorio de escolarización, con una duración de al menos doce años para la enseñanza básica común, y una permanencia en el sistema educativo hasta los 18 años.",000,,,,,,,,
174,"Homologación de la educación infantil que garantice su carácter educativo (no meramente asistencial) y la creación de plazas públicas suficientes de 0 a 3 años, para atender la demanda existente en los distintos Estados de la UE.",B103,,,ADECUACIÓN,EDUCACIÓN,,,,
175,"Asegurar el estudio de dos lenguas europeas en la educación obligatoria, además de la materna.",000,,,,,,,,
176,"Gratuidad del material didáctico, incluidos libros del alumno, para garantizar la gratuidad real de la educación obligatoria.",B103,,,ACCESO,EDUCACIÓN,,,,
177,"Plan de choque europeo contra el fracaso y el abandono escolar prematuro, dirigido prioritariamente a compensar desigualdades de origen social o cultural en los distintos Estados de la Unión.",B103,,,ADECUACIÓN,EDUCACIÓN,,,,
178,"Desarrollo de la dimensión europea de la educación mediante la incorporación a los currículos de las enseñanzas básicas de contenidos comunes sobre geografía, historia y cultura de los distintos países de la UE.",C101,,,"VALORES, DERECHOS Y LIBERTADES",EDUCACIÓN,,,,
179,Avanzar hacia un currículo básico europeo en los ámbitos humanístico y científico-técnico que contribuya a desarrollar las capacidades necesarias para la formación integral de la ciudadanía.,C101,,,CIUDADANÍA EUROPEA,EDUCACIÓN,,,,
180,"Fomento de los programas de intercambio en Educación Secundaria (tipo Erasmus), tanto en la modalidad de Formación Profesional como de Bachillerato.",000,,,,,,,,
181,"Homologación de la formación inicial para la función docente, de modo que facilite el intercambio y la movilidad, y requiera una titulación equivalente de al menos 4 años de formación universitaria para cualquiera de las etapas educativas.",000,,,,,,,,
182,"Integración y homologación europea de la Formación Profesional, Ocupacional y Permanente cuya articulación esté coordinada por el Consejo Europeo de la FP. Extensión y más recursos para la formación permanente de las y los trabajadores.",000,,,,,,,,
183,"Destino del 0,7% de los presupuestos de educación a proyectos educativos de cooperación al desarrollo en países empobrecidos.",000,,,,,,,,
184,"La educación es un derecho universal, y por tanto exigimos que se garantice la llamada dimensión social del Espacio Europeo de Educación Superior (EEES), de modo que todo estudiante pueda completar todos sus estudios superiores sin obstáculos relacionados con su origen socioeconómico.",B103,,,ACCESO,EDUCACIÓN,,,,
185,"Abogamos, en consecuencia, por la gratuidad de la educación superior en todos sus ciclos, y nos oponemos a la subida de los precios de los estudios universitarios de cualquier nivel. Exigimos un sistema de becas-salario que posibilite la plena dedicación a los estudios sin dependencias familiares.",B103,,,ACCESO,EDUCACIÓN,,,,
186,"La educación superior debe orientarse a potenciar el desarrollo personal y profesional de las personas, y su contribución a una sociedad sostenible, democrática y basa da en el conocimiento. Defendemos por tanto la renovación pedagógica necesaria para promover un aprendizaje más activo del estudiantado que permita estimular su capacidad de crítica, investigación e innovación como base para un desarrollo sostenible asentado en la creatividad del trabajo. Para ello, las Universidades europeas han de estar en condiciones de desempeñar su papel esencial en la formación cultural, científica y profesional sin subordinarse a la lógica del mercado y promoviendo una cooperación no competitiva con Universidades de todo el mundo, mediante la financiación pública necesaria.",C203,,,ORIENTACIÓN SISTEMAS DE ENSEÑANZA,FINANCIACIÓN,,,,
187,"Apoyamos los movimientos de estudiantes y trabajadores por dichos objetivos y en defensa de una Universidad pública, democrática y al servicio de las necesidades sociales.",B102,,,DERECHOS,EDUCACIÓN,,,,
188,"Los cambios necesarios de las Universidades sólo serán posibles con una amplia participación consciente y activa del estudiantado, profesorado y personal de administración y servicios; por ello reclamamos un amplio debate sobre su contenido, supeditando al mismo los ritmos de las reformas. Eso implica la paralización de la reforma de los planes de estudio y la suspensión del 2010 como fecha límite para la extinción forzosa de los anteriores planes. Sólo así será posible un debate sereno y en profundidad sobre el futuro de la Universidad.",B103,,,ADECUACIÓN,DERECHOS,,,EDUCACIÓN,
189,"Defendemos una transformación profunda de la Universidad, entendida como servicio público abierto a toda la ciudadanía, que no busque la “competitividad”, sino la calidad y la cooperación al servicio de un mundo más justo y equitativo.",B103,,,GESTIÓN,EDUCACIÓN,,,,
190,"Exigimos financiación pública suficiente no sólo para acometer realmente las transformaciones pedagógicas y curriculares necesarias, sino sobre todo para garantizar un sistema de becas-salario y ayudas al estudio que asegure que todo estudiante pueda completar todos los estudios universitarios sin obstáculos derivados de su origen socioeconómico. Para ello se requiere incrementar los fondos destinados a las universidades públicas hasta alcanzar el 2% del PIB.",B103,,,GESTIÓN,ACCESO,,,EDUCACIÓN,
191,"Rechazamos toda pretensión de mercantilizar la educación superior, ya sea haciendo descansar su financiación en las “aportaciones” de empresas privadas, o mediante la apropiación privada de los recursos públicos, a través de mecanismos como las “spin-off” (transferencia de investigación financiada con fondos públicos a empresas privadas).",B103,,,GESTIÓN,,,,,
192,"Compartimos la reivindicación de distintos estamentos universitarios que piden la paralización de las reformas de los planes de estudio hasta que una verdadera discusión pública, con participación de los diversos componentes de la Universidad y agentes sociales, haya esclarecido su sentido general y su contenido preciso.",B103,,,ADECUACIÓN,DERECHOS,,,EDUCACIÓN,
193,"Apoyo a la creación de redes y centros europeos de gran calidad en investigación y educación, mejorando la dimensión europea del aprendizaje permanente con el reconocimiento de cualificaciones y aptitudes; cre ando títulos, certificados y diplomas europeos; y estableciendo normas mínimas de calidad en la educación y la formación.",000,,,,,,,,
194,"Prioridad a las tecnologías que mejoren el empleo: relación innovación/volumencalidad del empleo generado. Desarrollo de I+D en educación, para adecuar las cualificaciones a los procesos de innovación.",000,,,,,,,,
195,Recuperar los criterios de desarrollo y cooperación frente al de competitividad en la política tecnológica e industrial comunitaria.,A102,,,COMPETITIVIDAD INDUSTRIAL,,,,,
196,"Desarrollo de tecnologías genéricas y respetuosas con el medio ambiente, que permitan mejorar la calidad de vida en los entornos urbanos y rurales. Políticas de difusión activa diseñadas para casos específicos (PYMEs, regiones menos favorecidas, sectores tradicionales).",000,,,,,,,,
197,"Democratización de la gestión de los programas de I+D. Crear las condiciones para que aumente la inversión del conjunto de la sociedad en investigación, pero manteniendo siempre niveles elevados de financiación pública de la investigación en campos prioritarios. Limitación del papel de los grandes grupos industriales en la orientación de la política tecnológica, que se basará ante todo en criterios de rentabilidad social.",000,,,,,,,,
198,"Recuperación y fomento de la investigación en temas socioeconómicos, con especial énfasis en estudios de fenómenos de marginación y exclusión social, emigración, consecuencias sociales del paro y de la precariedad laboral. Evaluación del impacto social de las políticas de reducción del gasto público y de desregulación de las condiciones de trabajo. Evaluación del impacto de las tecnologías generadas sobre el empleo, la calidad de vida y el medio ambiente. Estudios sobre acumulación desmedida de riqueza, u otros análogos que permitan evidenciar la génesis y permanencia de las desigualdades.",000,,,,,,,,
199,"Aplicación del principio de precaución en la evaluación de todos los programas europeos, y especialmente en los de Biotecnología, Medio Ambiente y Energía.",000,,,,,,,,
200,"Inclusión de la cohesión como criterio relevante para la selección de prioridades y evaluación de propuestas de investigación, dando especial importancia a las que pueden resolver problemas de la sociedad en las regiones menos desarrolladas.",000,,,,,,,,
201,Políticas integradas de participación en proyectos europeos y nacionales. Redistribución del esfuerzo investigador que integre las demandas en I+D de todos los países miembros.,000,,,,,,,,
202,"Fomento de conferencias de consenso y de la participación ciudadana en las decisiones tecnológicas: financiación, uso y aplicación de las tecnologías generadas. Extensión de los programas de evaluación tecnológica y de difusión de prácticas consideradas modélicas por sus beneficios sociales.",000,,,,,,,,
203,"Cooperación científica y tecnológica con los países del Tercer Mundo. Recuperación del criterio de cooperación al desarrollo e inclusión de los países del Sur, especialmente los del Mediterráneo, África y América Latina, dentro de los objetivos y políticas de cooperación científico-tecnológica.",000,,,,,,,,
204,"Garantizar el carácter público del resultado de investigaciones financiadas con fondos públicos, o que afecten a necesidades básicas (como medicamentos, etc.)",B103,,,ADECUACIÓN,EDUCACIÓN,,,,
205,"Para concretar esta apuesta, IU propone elaborar un programa-marco europeo en políticas educativas y de I+D+i, basado en los principios básicos de la izquierda alternativa: una educación pública, democrática y laica de calidad; un sistema científico-técnico que sustente un desarrollo social y ecológicamente sostenible; un modelo que contribuya a la extensión de la cultura científica indispensable para elegir y decidir el modelo social en que queremos vivir.",B103,,,ADECUACIÓN,EDUCACIÓN,,,,
206,"Garantizar el derecho a la protección de la salud de todos residentes en la comunidad europea a través de sistemas sanitarios públicos basados prioritariamente en la prevención de la enfermedad y en la promoción de la salud. Sistemas sanitarios públicos suficientes y eficientes. Con gestión, planificación, financiación y provisión pública y los atributos de suficiencia financiera, equidad, sostenibilidad, participación ciudadana y control público institucional.",B102,,,ACCESO,GESTIÓN,,,SERVICIOS SANITARIOS,
207,Dotación de fondos comunitarios para garantizar la equidad en el acceso a los servicios sanitarios de todos los residentes comunitarios e implementación de recursos para los sectores sociales más vulnerables.,B103,,,GESTIÓN,ACCESO,,,SERVICIOS SANITARIOS,
208,"Incremento de fondos destinados a la investigación, con diseño, evaluación y gestión pública, evitando que se conviertan en yacimiento de negocio para las empresas farmacéuticas y tecnológicas, logrando el mayor beneficio social posible.",000,,,,,,,,
209,"Garantía de cobertura sanitaria universal, global, gratuita, a cargo de los recursos públicos y como prestación de sistemas públicos sanitarios, y con la participación democrática de la ciudadanía en el funcionamiento de esos servicios sanitarios.",B103,,,ACCESO,DERECHOS,,,SERVICIOS SANITARIOS,
210,"Coordinar las políticas sanitarias de los países de la UE para que se ofrezca una atención sanitaria de calidad en toda Europa, en las tres dimensiones señaladas, la promotora de la salud, le preventiva de las enfermedades y la curativa.",B102,,,ACCESO,SERVICIOS SANITARIOS,,,,
211,"Fomentar la participación democrática de la población en el funcionamiento y determinación de los objetivos de los sistemas sanitarios con especial énfasis en el nivel de atención primaria de salud, que es donde se dan las mayores necesidades y donde se pueden poner los remedios",B103,,,GESTIÓN,DERECHOS,,,SERVICIOS SANITARIOS,
212,"Garantizar en toda la UE la salud reproductiva de la mujer con cobertura sanitaria pública para la anticoncepción, la prevención de embarazos no deseados y el aborto.",B103,,,ACCESO,SERVICIOS SANITARIOS,,,,
213,Garantizar la reasignación de sexo,B103,,,ACCESO,SERVICIOS SANITARIOS,,,,
214,"Dentro del objetivo de la soberanía alimentaría favorecer la agricultura integral, ecológica desterrando los cultivos transgénicos. Exigir en toda la unión europea un completo etiquetado e informe de trazabilidad de los productos alimentarios",A203,,,DESARROLLO RURAL,OGM,,,,
215,"Como parte de la recuperación de un medio ambiente saludable, planificar la progresiva eliminación de todo tipo de contaminantes",000,,,,,,,,
216,"Como componente de la consecución de un modelo económico alternativo, apostar por una sociedad de movilidad alternativa en el que los desplazamientos no contribuyan a la contaminación y en las ciudades se fomente el uso de las bicicletas.",D602,,,MOVILIDAD SOSTENIBLE,,,,,
217,"Favorecer la Educación para la Salud en la Escuela como contribución europea a una ciudadanía informada, responsable y consciente en el terreno de la salud.",000,,,,,,,,
218,"Derecho a la “Muerte Digna” de forma generalizada en el ámbito de la UE, con financiación y cobertura públicas, en un contexto aconfesional y laico. Teniendo la izquierda europea como objetivo el reconocimiento como derecho ciudadano la “Buena Muerte”.",B103,,,GESTIÓN,SERVICIOS SANITARIOS,,,,
219,"Frenar y revertir la progresiva privatización de los Cuidados Paliativos mediante su externalización teledirigida hacia la confesionalidad de las empresas adjudicatarias, con objetivos económicos y morales en una Unión Europea aconfesional y laica.",B103,,,GESTIÓN,SERVICIOS SANITARIOS,,,,
220,"Desde IU defendemos una política cultural basada en el diálogo intercultural y en la educación y nos oponemos a la liberalización de los servicios culturales. Queremos que el diálogo entre culturas se convierta en una política de paz en cada sitio y en el ámbito europeo, por ello:",000,,,,,,,,
221,"Apoyamos la Convención de la UNESCO a favor de la promoción y protección de las expresiones de diversidad cultural, en la que la preservación y promoción de la diversidad de las culturas regionales se convierta en aplicable por leyes internacionales.",000,,,,,,,,
222,"IU reclama la defensa de la identidad multicultural europea, favorable a la paz y la solidaridad. Para salvaguardar el patrimonio audiovisual europeo, desde IU seguimos apoyando la Declaración de Delfos (1991), en la que se reconoce que “Todo individuo tiene derechos a acceder a toda la información a toda obra. Los poderes públicos nacionales y europeos preservarán el libre acceso a todos los medios de comunicación y cuidarán que todos los medios de comunicación respeten en su programación el pluralismo social y cultural, actuarán contra la uniformidad y el embrutecimiento espiritual y colaborarán para que se desarrolle la libre elección y para que se formen espíritus críticos”. Para que estos e cumpla, proponemos:",000,,,,,,,,
223,El acceso libre y gratuito a todos los museos y al patrimonio cultural público de los países que integran la UE.,000,,,,,,,,
224,Libre acceso a todas las mediatecas públicas y privadas y préstamo gratuito de todo tipo de libros y soportes mediáticos.,000,,,,,,,,
225,"Libre franquicia e IVA mínimo para libros, periódicos, discos, DVDs, etc.",000,,,,,,,,
226,Libre acceso a la emisión digital y a la televisión de alta definición.,000,,,,,,,,
227,Libre acceso a las autopistas de la información.,000,,,,,,,,
228,"Libre acceso al estudio de los diferentes idiomas, con ayudas públicas en la difusión de materiales en distintas lenguas.",000,,,,,,,,
229,Nuestra alternativa pasa por el fomento con dinero público (1% del PIB) de todo tipo de propuestas tendentes a poner al servicio de todos lo que es patrimonio común de la humanidad.,000,,,,,,,,
230,"También exigimos una política de medios de comunicación transparente. Las fuentes del poder económico, su productividad, de la hegemonía cultural así como del poder militar dependen cada vez más de la producción, almacenamiento y conversión de la información y el conocimiento. Por ello el acceso de la sociedad a la comunicación e información y su adquisición son cuestiones esenciales de participación democrática en el ámbito nacional y europeo. Más aún la democratización de la producción, el tratamiento y la apropiación de la información y el conocimiento es un reto inevitable del capitalismo digital.",B203,,,INFO. MEDIOS DE COMUNICACIÓN,,,,,
231,Repartir el espacio radio-eléctrico europeo y cósmico con criterios democráticos que hagan compatible la libertad de emisión con la defensa de la soberanía nacional.,000,,,,,,,,
232,Multiplicar la cooperación entre entidades públicas de radio y televisión de todos los Estados y regiones de Europa.,000,,,,,,,,
233,"Que las noticias de las televisiones institucionales europeas deban tener un mayor equilibrio e intercambio de noticias entre Este y Oeste, Centro y Sur-Norte.",000,,,,,,,,
234,"Estamos por estructuras democráticas de medios de comunicación públicos, con acceso fácil y barato a nuevos medios como internet, códigos libres y programas, sin el uso alegal de las redes sociales y los datos personales.",000,,,,,,,,
235,"Izquierda Unida trabajará para que nuestro país esté a la vanguardia en los campos de la universalización del uso de la Informática y de Internet, así como en la democratización del acceso a la información y al conocimiento, es decir, por una Sociedad de la Información justa y solidaria en la que los territorios y capas sociales más desfavorecidos reciban atención prioritaria.",B103,,,ACCESO,SOCIEDAD DE LA INFORMACIÓN,,,,
236,"Definir Internet como Servicio Universal Gratuito para el conjunto de los ciudadanos pues el desarrollo de las redes y su importancia para el avance de la Sociedad de la Información impone que el actual servicio universal sea ampliado para incluir el acceso a Internet con una velocidad mínima de 1 Megabit, ampliable a medida de la mejora tecnológica.",B103,,,GESTIÓN,ACCESO,,,SOCIEDAD DE LA INFORMACIÓN,
237,"La implantación de Servicio Universal Gratuito se llevará a cabo priorizando los territorios y capas sociales más desfavorecidos e incluirá una ayuda integral para la incorporación a la Sociedad de Información que consistirá, además de en el citado acceso gratuito a Internet, en créditos a largo plazo sin intereses para la adquisición de ordenador y cursos gratuitos de Informática e Internet, medidas sin las cuales el mero acceso a Internet sería perfectamente inútil.",B103,,,ACCESO,SOCIEDAD DE LA INFORMACIÓN,,,,
238,"Fomento del Software Libre, estableciendo el uso preferente de programas de código fuente abierto en las Administraciones Públicas, superando situaciones monopolistas de dependencia tecnológica.",000,,,,,,,,
239,"Oposición a la implantación de las patentes de software, por favorecer a las grandes multinacionales del ramo y a los grandes bufetes multinacionales, causando además un perjuicio al movimiento del software libre, tanto a los programadores individuales como a las pequeñas empresas que producen este tipo de programas.",000,,,,,,,,
240,"Modificación del sistema de defensa de la propiedad intelectual que actualmente se realiza a través de la implantación del llamado canon digital, buscando alternativas más justas en beneficio del interés general, compatible con el respeto de los derechos de los creadores, los de la industria tecnológica y los de los consumidores.",000,,,,,,,,
241,"Cambio profundo del modelo vigente propiedad intelectual, priorizando los aspectos sociales y colectivos de toda obra, pues el vigente, concebido en un principio para proteger el trabajo del creador individual, se ha convertido principalmente en un instrumento de maximalización del beneficio de grandes empresas de carácter multinacional.",000,,,,,,,,
242,"No penalización del libre intercambio de archivos siempre que no tenga un fin lucrativo, de acuerdo con la actual doctrina jurisdiccional, y apoyo al derecho a la copia privada.",000,,,,,,,,
243,"Digitalización de los fondos culturales e históricos propios de la Administración General del Estado y su puesta a disposición de manera libre y gratuita de los ciudadanos en la Web, permitiendo además la descarga digital de los fondos de las bibliotecas estatales. La publicación de estos fondos se realizará mediante licencias libres que aseguren una difusión de los mismos sin las restricciones que impone el actual modelo de propiedad intelectual.",000,,,,,,,,
244,Directivas comunitarias sobre la igualdad de derechos de los homosexuales que obliguen a los Estados miembros al cumplimiento de la Resolución del Parlamento Europeo de 8 de febrero de 1994.,C102,,,REGULACIÓN,FORMAS DE DISCRIMINACIÓN,,,,
245,"Que todos los Estados miembros regulen las uniones de hecho como relaciones afectivo-sexuales distintas al matrimonio en igualdad de derechos, reconociendo los mismos beneficios económico-patrimoniales (fiscalidad, herencia, seguridad social, alimentos, etc.) y otros, como el derecho de adopción, beneficios laborales, adopción de la nacionalidad de la compañera/o extranjeros, etc.",000,,,,,,,,
246,El derecho de las personas del mismo sexo a contraer matrimonio en todos los Estados miembros.,C103,,,LGBT,REGULACIÓN,,,,
247,"Aprobación de convenios colectivos que garanticen a las parejas de hecho, del mismo o distinto sexo, todos los beneficios concedidos a los matrimonios.",C103,,,LGBT,REGULACIÓN,,,,
248,Campañas de información que denuncien los comportamientos lesbo y homofóbicos y promuevan comportamientos y actitudes de respeto e igualdad,C101,,,LGBT,,,,,
249,"Supresión de requisitos, contenidos y signos discriminatorios hacia cualquier opción afectivo-sexual. Eliminar el término “grupo de riesgo” en alusión al colectivo de gays, lesbianas y transexuales.",C102,,,LGBT,EDUCACIÓN,,,,
250,"Revisión de los contenidos sobre sexualidad en la enseñanza, de forma que no se trasmita un modelo preferente que excluya opciones afectivo-sexuales diferentes a la heterosexual y formas de convivencia distintas a la familiar-matrimonial.",C102,,,LGBT,EDUCACIÓN,,,,
251,"Eliminación de la discriminación por motivos de orientación sexual en los Códigos Penales de los Estados miembros, donde deberá tener la consideración de delito y será perseguida de oficio.",C103,,,LGBT,REGULACIÓN,,,,
252,"Retirada o denegación de ayudas/subvenciones a entidades que por su ideología o actividad incurran en cualquier manifestación de homo, lesbo o transfobia.",000,,,,,,,,
253,"Gratuidad de los procesos completos de cambio de sexo y su inclusión en la Sanidad Pública de todos los países de la UE, así como el derecho de los y las transexuales a modificar su nombre y género en los registros civiles y en los documentos de identidad de cada país.",B103,C103,,ACCESO,SERVICIOS SANITARIOS,,,LGBT,REGULACIÓN
254,"La normalización de la transexualidad, con programas y medidas para favorecer su integración social y laboral y combatir el rechazo y la discriminación.",C103,,,LGBT,FORMAS DE DISCRIMINACIÓN,,,REGULACIÓN,
255,"Exigir a los países que se beneficien de las políticas de cooperación, la garantía de no discriminación y respeto a los gays, lesbianas y transexuales en sus territorios.",C102,,,LGBT,RELACIONES INTERNACIONALES,,,COOPERACIÓN AL DESARROLLO,
256,"Concesión de asilo para las personas huidas de sus países por discriminación y marginación por su condición de gay, lesbiana o transexual.",000,,,,,,,,
257,"Poner en marcha iniciativas hacia las personas prostituidas, como programas de reducción de riesgo sanitario y de reinserción social y laboral, y todas aquellas medidas que permitan la superación de las situaciones de exclusión social.",000,,,,,,,,
258,La inclusión de la persecución sufrida por las personas homosexuales en los conflictos armados que tuvieron lugar en Europa durante el siglo XX en las leyes de memoria histórica de los distintos países miembros de la UE.,000,,,,,,,,
259,Queremos fortalecer de las libertades individuales y los derechos y las políticas sociales y derechos para todos los que viven en la UE. La Carta de Derechos Fundamentales debe ser en marco legal obligatorio aparte de desarrollarse y mejorar más aún. La UE debe adherirse a la Carta Europea de Derechos Humanos.,C102,,,"VALORES, DERECHOS Y LIBERTADES",REGULACIÓN,,,,
260,"Izquierda Unida y los partidos de la Izquierda Europea está a favor de garantizar plenos derechos para las mujeres y hombres en todos los aspectos de la vida. Luchamos por una regulación europea que garantice el derecho de las mujeres a decidir sobre su cuerpo, a la libre concepción y el aborto libre dentro del sistema público de salud. Promovemos regulaciones europeas que criminalicen toda violencia de género y recursos materiales y humanos para atender a todas las víctimas de violencia de género.",B103,C103,,GESTIÓN,SERVICIOS SANITARIOS,,,DERECHOS REPRODUCTIVOS,REGULACIÓN
261,"La UE ha de promover y proteger los derechos de las personas ahora discriminadas por razón de raza, nacionalidad, orientación sexual, identidad de género, religión, ideología, discapacidad y edad. Exigimos respeto a los derechos de las minorías y una acción persistente contra el racismo, la xenofobia, el ultranacionalismo, el chauvinismo, fascismo, anticomunismo, homofobia y cualquier otra forma de discriminación.",C102,,,FORMAS DE DISCRIMINACIÓN,,,,,
262,Estamos a favor de una Europa secular en el sentido de que todas las políticas del estado han de ser seculares.,C103,,,SECULARISMO,,,,,
263,Solicitamos una declaración formal y expresa de la laicidad en todos los países de la UE,C103,,,SECULARISMO,,,,,
264,"Defendemos la supresión de la financiación religiosa, directa o indirecta, con fondos europeos a cualquier institución religiosa. Consideramos imprescindible la retirada de símbolos religiosos en todos los edificios públicos o privados en el ejercicio de prestación de servicios públicos (ejército, hospitales, escuelas, etc).",C103,,,SECULARISMO,,,,,
