,,CODIFICACIÓN,,,ETIQUETADO,,,
250,"Apoyaremos sin fisuras todas las negociaciones para que cada vez más aguas internacionales queden amparadas por Organizaciones Regionales de Ordenación Pesquera, y en particular seguirá impulsando la creación de una organización de este tipo en el Atlántico Suroccidental que de cobertura a la flota española que faena en la plataforma patagónica.",A302,,,DIMENSIÓN EXTERIOR,,,
251,"Trabajaremos para que el peso de la Unión europea en el seno de las Organizaciones Regionales de Ordenación Pesquera siga aumentando hasta corresponderse con la realidad de su peso político y económico en el mundo, y como garantía de que las normas adoptadas por dichas organizaciones se aplican por igual a todas las partes contratantes sin penalizar a la flota comunitaria al estar ya sometida a obligaciones derivadas de una Política Pesquera Común muy regulada.",A301,,,DIMENSIÓN EXTERIOR,,,
252,Consideramos que deben crearse líneas de investigación permanentes y continuadas sobre las distintas especies de valor comercial para disponer en todo momento de la mejor información científica posible.,A301,,,INFORMACIÓN CIENTÍFICA,,,
253,"Creemos prioritario como primer paso para obtener información científica de calidad fijar a los investigadores objetivos claros, lo que no ha ocurrido hasta ahora, ya que la propia Política Pesquera Común adolece de esa falta de objetivos identificados.",A302,,,INFORMACIÓN CIENTÍFICA,,,
254,"Intensificaremos los esfuerzos para que haya una política de investigación financiada y dirigida a nivel europeo, que permita la interacción de los distintos centros de investigación de los Estados miembros, de manera que los esfuerzos se sumen, y no se dispersen, y como forma de revalorizar ante los investigadores la investigación aplicada para atraerlos hacia un trabajo científico hasta ahora poco valorado y que los inclina mayoritariamente hacia investigaciones con mayor peso curricular.",A302,,,INFORMACIÓN CIENTÍFICA,,,
255,Apostamos por defender la solidaridad y la cohesión territorial europea adaptada a los cambios económicos que vivimos. Por ello formulamos las siguientes propuestas dirigidas a conseguir una nueva política regional:,000,,,,,,
256,El Partido Popular considera que la política de cohesión debe seguir siendo un pilar fundamental en el proceso de integración europea en cuanto contribuye de forma notable al desarrollo socioeconómico de los Estados y regiones menos avanzados. Por ello nos opondremos a cualquier intento de renacionalización de esta Política Común Europea.,000,,,,,,
257,"Defenderemos que se destinen recursos suficientes para las políticas de cohesión. El Partido Popular opina que la solidaridad interterritorial en la Unión Europea debe seguir contando con los recursos suficientes para adaptarse a los nuevos desafíos a los que nos enfrentamos: la globalización económica, el cambio climático, el cambio demográfico (incluidos el envejecimiento, la migración y la despoblación), la pobreza y el abastecimiento energético, entre otros. Para nosotros, los recursos financieros destinados a la Política Regional comunitaria no deberían ser inferiores del 0,45% del PIB europeo.",000,,,,,,
258,"El Partido Popular cree firmemente que los recursos financieros al servicio de esta política deben permanecer en ella y no retornar a los presupuestos nacionales cuando algún Estado o región no sea capaz de absorber los fondos atribuidos. Para ello proponemos la creación de una ""reserva comunitaria de los fondos estructurales"", que permita reutilizar los créditos no gastados con el fin de maximizar el impacto de la política de cohesión y aprovechar los recursos escasos.",000,,,,,,
259,"Para el Partido Popular la política de cohesión de la UE debe abarcar todos los ámbitos territoriales de la UE, incluidas las regiones con características geográficas específicas (como las ultraperiféricas), y aportar un valor añadido para todos. Con independencia de sus niveles de renta y prosperidad económica, el Partido Popular considera que toda región puede presentar problemas específicos y localizados de competitividad, y por tanto, ser susceptible de recibir ayudas comunitarias en la futura política de cohesión.",000,,,,,,
260,"El Partido Popular considera vigente la utilización del criterio actual de selección, el Producto Interior Bruto por habitante (por ser uno de los principales indicadores de la producción de la economía regional, ser estadísticamente sólido y permitir comparaciones entre periodos de tiempo razonablemente largos), para la elegibilidad de las regiones a los Objetivos de la Política Regional. Pero al mismo tiempo defenderá que no se aplique con carácter exclusivo puesto que enmascara el creciente número de diferencias entre y dentro de las regiones.",000,,,,,,
261,"Por ello propondremos ante la negociación del nuevo marco financiero de la UE a partir de 2014 la ampliación de los criterios utilizados hasta el presente incorporando complementariamente indicadores tales como los índices de desempleo o de brecha tecnológica, lo que permitiría analizar con mayor fiabilidad las realidades territoriales y el grado de cohesión existente.",000,,,,,,
262,"Creemos que ha llegado el momento de promover todas aquellas medidas tendentes a orientar el gasto comunitario hacia la innovación, el capital humano y la mejora de la competitividad, como principales instrumentos para acelerar el crecimiento y la convergencia en el conjunto de la Unión. Es necesario innovar a nivel regional. Hoy, ante la crisis que padece Europa, más grave aún en España, cohesión y competitividad deben ser dos caras de la misma moneda.",A401,,,,,,
263,"Nos comprometemos a promover la reforma del Fondo Europeo de Solidaridad para asegurar una ayuda comunitaria rápida, eficaz y visible a las víctimas de catástrofes naturales en la UE, lo cual debiera acompañarse de una mayor coordinación preventiva de los sistemas nacionales de protección civil y la creación de mecanismos comunitarios de actuación conjunta. La Unión tiene que acudir desde el primer momento en auxilio de sus ciudadanos cuando estén amenazados, inclusive sus propias vidas, por catástrofes naturales.",000,,,,,,
264,"Demandaremos la puesta en marcha de nuevos programas de gestión directa desde la Unión Europea, con dotaciones económicas específicas, que amortigüen la pérdida paulatina de fondos estructurales que sufre España en un contexto de crisis económica y social de mayor impacto que la padecen la mayoría de nuestros socios europeos.",000,,,,,,
265,"Instaremos a la Comisión Europea a poner en marcha un programa específico de financiación de estructuras hídricas en las regiones con déficit estructural dotado de financiación suficiente desarrollando una política del agua basada en los principios de unidad de cuenca, sostenibilidad ambiental, prioridad de uso en la propia cuenca y garantía de las necesidades presentes y futuras de la misma en aras al interés de sostenibilidad y del desarrollo de actividades sociales y económicas de los territorios y solidaridad interterritorial transfiriendo los sobrantes de aguas de cuencas excedentarias a las deficitarias.",D302,,,AGUA,,,
266,"Defenderemos una verdadera simplificación de los procedimientos administrativos de gestión de la utilización de los fondos estructurales. Los actuales sistemas de gestión, seguimiento y control de los fondos estructurales son cada vez más costosos y burocráticos. Se impone por tanto una simplificación de la normativa reguladora, haciéndola más ágil, transparente y con mayor seguridad jurídica para los Estados miembros y regiones que participan en la política de cohesión, sin menoscabo del necesario control del gasto por parte de las Instituciones Europeas.",000,,,,,,
267,Defenderemos el concepto de subsidiariedad en la aplicación de la política de cohesión. La política de cohesión debe ser diseñada y planificada por sus actores: los estados miembros y las regiones sin que les sea impuesta una planificación cerrada y rígida desde estamentos alejados de sus realidades.,000,,,,,,
268,"La definición exacta del escenario en que el presupuesto debe inscribirse, así como la previsión realista de las funciones que corren a cargo de la Unión. Esta tarea previa de definición exige, a su vez, la revisión sistemática de la totalidad de los gastos de la Unión Europea, lo que supone preguntarse en que medida estos gastos se adecuan a las necesidades de la economía europea.",000,,,,,,
269,"La asignación a las Instituciones Comunitarias de los recursos financieros necesarios para asumir sus objetivos políticos, económicos sociales y territoriales. Por eso, propondremos en la próxima revisión presupuestaria que el presupuesto de la Unión no baje del 1,24 por ciento de la Renta Nacional Bruta Comunitaria.",000,,,,,,
270,"El presupuesto debe ser simple, transparente y debe visualizar con claridad el valor añadido que comportan las políticas comunitarias. El ciudadano debe percibir hasta que punto la actuación del conjunto de los países de la Unión le proporciona más beneficios que la actuación de cada uno de los Estados miembros por separado.",B201,,,INFO. FISCAL,,,
271,"Las perspectivas financieras deberían tener una duración de cinco años para hacerlas coincidir con el mandato del Parlamento Europeo y la Comisión, articulando las prórrogas necesarias del actual marco para hacer posible la coincidencia en el futuro. Las perspectivas financieras 2007-2013 deberían prorrogarse un año más para hacer posible esta coincidencia temporal.",000,,,,,,
272,"La revisión de las perspectivas financieras debe aprovecharse para derogar los privilegios financieros que constituyen la expresión más perversa del principio del ""saldo neto"" que tanto ha enturbiado el debate presupuestario en los pasados años.",000,,,,,,
273,"Las perspectivas financieras deberían incluir reservas extra- presupuestarias (Instrumento de Flexibilidad, Ayuda de Emergencia, Fondo de Solidaridad, Fondo Europeo de Adaptación a la Globalización, Fondo de Garantía, Fondo Energético...) que se podrían movilizar para atender situaciones imprevistas o difícilmente programables con antelación.",000,,,,,,
274,"La ejecución del presupuesto debe realizarse de acuerdo con los principios de buena gestión financiera y eficiencia, reforzándose los mecanismos de control interno y externo de los gastos e ingresos de la Unión Europea.",000,,,,,,
275,Las perspectivas financieras de la Unión deben contribuir a aumentar la competitividad de la economía europea. La globalización esta alterando profundamente el equilibrio entre países. Europa debe situarse a la vanguardia de la Era de la Información. Tiene que hacer suya la economía del conocimiento en el campo de la Investigación y el desarrollo y en el de las Tecnologías de la Información. Los recursos de la Unión deben colocarse al servicio de este objetivo.,000,,,,,,
276,"La solidaridad es un principio inspirador de todas las políticas de la Unión y no solo un principio inspirador de la política de cohesión. Lo que se pretende es ayudar al desarrollo de la agricultura sostenible en todas las regiones de la UE, potenciar la investigación y el desarrollo en las regiones más atrasadas, hacer un esfuerzo adicional en materia de formación profesional con las capas de población en paro estructural, diseñar redes transeuropeas que favorezcan la comunicación con la periferia y colmar las deficiencias tecnológicas.",A202,,,PAC,,,
277,"La Política Agrícola Común contribuye al mantenimiento del medio rural, a la conservación del medioambiente y a la seguridad y calidad alimentaría. Por eso, nos oponemos a que se recorten los recursos destinados a la agricultura y también a cualquier intento de renacionalización de las políticas agrícolas.",A201,,,FINANCIACIÓN,,,
278,"La Política de Cohesión es esencial para corregir las disparidades de bienestar social y económico entre los distintos territorios y así asegurar la igualdad de oportunidades, y evitar fracturas sociales. Por eso nos opondremos a cualquier intento de recortar estas políticas.",000,,,,,,
279,"Las políticas de cohesión deben ponerse al servicio de los objetivos fijados en la Estrategia de Lisboa, lo que exige tener en cuenta, a la hora de distribuir las ayudas estructurales, los niveles de prosperidad relativa, como hasta ahora, y además los niveles de desempleo y los déficits tecnológicos de los distintos territorios de la Unión.",000,,,,,,
280,La suficiencia energética y la lucha contra el cambio climático constituyen dos desafíos que debemos afrontar no cegando las fuentes del conocimiento económico y el éxito tecnológico sino capitalizando la sociedad el conocimiento. Las perspectivas financieras deberán tener en cuenta este desafío.,000,,,,,,
281,La puesta en marcha de una política de migración europea absorberá muchos más recursos financieros que hasta ahora. El control de las fronteras externas y la integración de los inmigrantes son políticas que debemos realizar y pagar entre todos.,C101,,,INTEGRACIÓN,FINANCIACIÓN,,
282,Las políticas europeas de seguridad y lucha contra el terrorismo deberán ser también consideradas a la hora de fijar el futuro marco presupuestario de la Unión.,000,,,,,,
283,Las nuevas perspectivas financieras deberán tener en cuenta el hecho de que la Unión Europea aspira a tener un papel en el mundo en consonancia con su calidad de primera potencia económica y de mayor donante mundial.,000,,,,,,
284,"La reforma debe inspirarse en los criterios de equidad y progresividad que también caracterizan a los sistemas fiscales de los Estados miembros. Equidad horizontal: a igual capacidad, igual contribución. Equidad vertical: las contribuciones al presupuesto de la UE deben reflejar la capacidad contributiva diferencial de los Estados miembros.",000,,,,,,
285,"Los procedimientos de gestión de los recursos propios tradicionales, singularmente de los derechos de aduana, deben ser simplificados. La lucha contra el fraude fiscal constituye otro objetivo prioritario.",000,,,,,,
286,Las aportaciones de los Estados miembros se establecerán en función de su PNB corregido por los indicadores que mejor reflejen su prosperidad relativa. El PNB es un criterio más neutro que el recurso IVA en cuanto éste penaliza más a los países más pobres.,000,,,,,,
287,Garantizar el respeto de la Carta de Derechos Fundamentales de la Unión Europea.,C102,,,"VALORES, DERECHOS Y LIBERTADES",,,
288,"Impulsar una estrategia global para la protección de la intimidad y de los datos de carácter personal con especial incidencia en los ámbitos de las nuevas tecnologías, la protección de las personas en el espacio virtual y las relaciones con los países terceros.",000,,,,,,
289,Fortalecer la eficacia de la acción contra el racismo y la xenofobia.,C102,,,FORMAS DE DISCRIMINACIÓN,,,
290,"Exigiremos el cumplimiento homogéneo y armonizado en toda la Unión Europea de la Directiva 43/2000 de la Unión Europea, conocida como Directiva de igualdad racial, que prohíbe la discriminación por motivos de origen étnico, y la apertura de procedimientos de infracción a los países que la incumplan.",C102,,,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,
291,"Instaremos al Parlamento Europeo, al Consejo, y a la Comisión y a todos los Estados Miembros y a los países candidatos a tomar públicamente medidas para combatir el odio contra la población Romaní en todas sus formas, ya sea en el ámbito local, nacional regional o europeo.",C102,,,FORMAS DE DISCRIMINACIÓN,ACUERDO ADHESIÓN,,
292,Reforzar la protección de la infancia y de los menores.,000,,,,,,
293,Proteger a las personas más vulnerables.,000,,,,,,
294,Impulsar el establecimiento de medidas recíprocas relativas a la protección de los datos personales de los pasajeros (PNR) en los vuelos de aerolíneas comerciales.,000,,,,,,
295,Asegurar la libre circulación con el objetivo de facilitar la vida y la movilidad de nuestros ciudadanos en la Unión Europea.,000,,,,,,
296,Establecer un marco de cooperación para facilitar la protección consular.,000,,,,,,
297,"Utilizar la totalidad de los mecanismos e instrumentos previstos en el ordenamiento jurídico, reforzando su eficacia cuando sea necesario.",000,,,,,,
298,Rechazar a nivel comunitario cualquier intención de iniciar negociaciones políticas con bandas armadas terroristas.,000,,,,,,
299,"Reconocer el amargo sufrimiento, el valor y el importante papel de las víctimas del terrorismo. Quienes han sufrido la barbarie del terror deben ser una referencia ética para nuestras sociedades. Por ello apoyaremos el reconocimiento de las víctimas a nivel nacional e internacional y la creación definitiva de un fondo de ayuda para asistir a las víctimas del terrorismo con la adecuada dotación financiera, tal y como ya propuso el Partido Popular Europeo en el año 2004.",000,,,,,,
300,Combatir la propaganda del terrorismo y los factores de radicalización.,000,,,,,,
301,Atacar las fuentes de financiación del terrorismo y exigir el cumplimiento inmediato por parte del gobierno de España de las directrices europeas contra el blanqueo de capitales y la financiación del terrorismo.,000,,,,,,
302,"Exigir a los Estados miembros que todavía no lo hayan hecho, la transposición y aplicación de la orden de detención europea.",000,,,,,,
303,Proponer el cumplimiento íntegro de las penas y la no prescripción de los delitos de terrorismo en todo el ámbito de la Unión.,000,,,,,,
304,Apoyar la aprobación de una decisión marco por la que se armonicen las condiciones de expulsión del territorio europeo de los extranjeros que inciten a la comisión de actos terroristas.,000,,,,,,
305,Luchar contra el terrorismo como prioridad de la seguridad internacional mediante la cooperación con nuestros socios comunitarios y aliados transatlánticos.,000,,,,,,
306,"Apoyar a las fuerzas y cuerpos de seguridad de los Estados miembros y fomentar la cooperación entre los mismos, fortaleciendo la confianza especializada entre los distintos cuerpos y fuerzas de seguridad, el intercambio de información y de las buenas prácticas y experiencias reforzando la cooperación policial y judicial en la lucha contra el terrorismo, e intensificar el papel de Europol y Eurojust en este ámbito.",000,,,,,,
307,Mejorar el funcionamiento y la confianza en Europol y asegurar la transmisión de información hacia la Oficina Europea de Policía.,000,,,,,,
308,Proteger las infraestructuras críticas mediante el establecimiento de un sistema eficaz de protección en el seno de la Unión Europea.,000,,,,,,
309,"Mejorar la coordinación de los distintos responsables de la lucha contra el terrorismo en la Unión Europea. Será necesario intensificar la cooperación entre el Comisario responsable, el Coordinador europeo de la lucha contra el terrorismo, el director de Europol, el director de Eurojust, el director del Sitcen y los ministros competentes.",000,,,,,,
310,"Impulsar a escala comunitaria los instrumentos de cooperación policial y judicial, el intercambio de información, el acceso a los registros de antecedentes penales, de huellas dactilares, de ADN, y datos biométricos.",000,,,,,,
311,Fomentar la intervención de equipos conjuntos de investigación con otros Estados miembros de la Unión y la cooperación con Europol y Eurojust.,000,,,,,,
312,"Potenciar investigaciones conjuntas contra redes organizadas y sus conexiones con las mafias que trafican con seres humanos, la inmigración clandestina, la falsificación de documentos de viaje, el tráfico de armas, vehículos robados, joyas y obras de arte.",000,,,,,,
313,Estimular el desarrollo de procesos de formación conjunta de las policías europeas y el papel de Cepol.,000,,,,,,
314,"Endurecer y tipificar a escala comunitaria de las penas contra las redes organizadas, en especial por delitos de tráfico de seres humanos y delitos graves cometidos contra personas y la propiedad.",000,,,,,,
315,Luchar en común contra los delitos financieros y económicos y la falsificación del Euro: fortaleciendo y potenciando el Programa Pericles.,000,,,,,,
316,"Reforzar los medios y la colaboración a escala comunitaria e internacional para proteger a la infancia y a los menores contra la pedofilia, la pornografía infantil y otros delitos cometidos a través del ciberespacio.",000,,,,,,
317,"Potenciar la lucha contra el narcotráfico, mediante la coordinación de las fuerzas especializadas en toda la Unión Europea y la creación de grupos de investigación conjuntos.",000,,,,,,
318,Desarrollar campañas comunitarias de prevención contra la drogadicción en centros educativos y su entorno.,000,,,,,,
319,"Proponer en el Parlamento Europeo el cumplimiento efectivo de las penas impuestas por delitos graves de carácter sexual o cometidos por redes de delincuencia organizada, especialmente contra mujeres y niños.",000,,,,,,
320,Introducir medidas de seguridad que permitan la prevención y el control de los delincuentes patológicos con alto riesgo de reincidencia.,000,,,,,,
321,Garantizar el cumplimiento efectivo de los derechos derivados del régimen matrimonial y las pensiones de alimentos en todo el espacio europeo.,000,,,,,,
322,Avalar la supresión del exequátur.,000,,,,,,
323,"Ampliar el reconocimiento mutuo de las decisiones relativas a la incapacidad profesional, mercantil o relativa al permiso de conducir.",000,,,,,,
324,Establecer medidas mínimas comunes relativas a la ejecución en materia de responsabilidad parental y procedimientos de adopción.,000,,,,,,
325,"Apoyar decididamente la estrategia europea de e-Justicia, para el acceso en línea a los procedimientos, el intercambio de información, la videoconferencia y la interpretación lingüística.",000,,,,,,
326,"Promover el uso generalizado de las tecnologías de la información, junto con un sistema seguro de envío y recepción de correos electrónicos en el quehacer diario de los órganos judiciales.",000,,,,,,
327,"Proponer en el ámbito comunitario, la adaptación de la Justicia a la sociedad de la información y la creación de una red de comunicaciones que permita el acceso competente a las bases de datos judiciales con el objeto de conocer los antecedentes de cualquier ciudadano no nacional que este siendo juzgado en un cualquier Estado miembro, o para evitar el incumplimiento de las resoluciones judiciales mediante el cambio de domicilio o el lugar de residencia.",000,,,,,,
328,"Instar a los gobiernos de la Unión Europea a destinar más recursos a la instalación de los sistemas de video conferencia y de intercambio de información y a la formación de los jueces, fiscales y agentes judiciales en su utilización.",000,,,,,,
329,"Proponer el acceso a escala comunitaria a los registros de la propiedad y a los registros de índices, de tal forma que ningún condenado pueda eludir el pago de sus responsabilidades pecuniarias ocultando información sobre el patrimonio que posee en cualquier Estado miembro.",000,,,,,,
330,Apoyar la propuesta de crear un registro europeo de quebrados y la aproximación de las legislaciones relativas a los procedimientos de embargo bancarios.,000,,,,,,
331,"Apoyar la regulación racional de la contratación en origen y transposición inmediata de las iniciativas comunitarias en materia de inmigración regular tanto para trabajadores altamente cualificados como no cualificados, teniendo en cuenta que cada Estado miembro conservará el control exclusivo respecto del número y tipo de trabajadores que sus mercados laborales puedan absorber, respetando el principio de preferencia comunitaria.",000,,,,,,
332,Prohibir con norma de rango legal todo proceso de regularización masiva de inmigrantes.,000,,,,,,
333,Transponer el sistema por el que se establecen las condiciones de entrada y residencia de nacionales de terceros países para fines de empleo altamente cualificado (Blue Card).,000,,,,,,
334,Establecer un mecanismo de inmigración legal limitado en el tiempo para los trabajadores sin cualificación o poco cualificados.,000,,,,,,
335,Aplicar de una política justa pero estricta de reagrupación familiar.,000,,,,,,
336,"Luchar contra la contratación ilegal, clandestina, transponiendo la totalidad de la normativa europea existente en este campo.",000,,,,,,
337,Exigir a todos los países un control estricto de las fronteras exteriores como competencia nacional y requerir la cooperación de la Unión en las zonas de mayor presión migratoria.,000,,,,,,
338,"Cumplir las normas recogidas en la Directiva relativa al retorno de los inmigrantes irregulares a sus países de origen, dando siempre prioridad al retorno voluntario.",000,,,,,,
339,Apoyar políticas de cooperación relacionadas con la colaboración en los acuerdos de repatriación con países de origen y tránsito de inmigración.,000,,,,,,
340,"Impulsar decididamente a Frontex. Reclamaremos de la Unión, un mayor compromiso con la Agencia Europea y más medios humanos, materiales y financieros y defenderemos la ampliación de las competencias operativas de Frontex para que pueda hacer frente con mayores garantías le creciente presión de la inmigración irregular.",000,,,,,,
341,Exigir que los Estados miembros cumplan sus compromisos y pongan a disposición de Frontex los medios ofrecidos para su integración en el inventario centralizado de equipos técnicos disponibles (CRATE),000,,,,,,
342,Reclamar a la Unión Europea un mayor apoyo financiero a los Estados con fronteras exteriores como España.,000,,,,,,
343,Proponer la creación de un instrumento comunitario destinado a evitar los matrimonios en fraude de ley y los matrimonios forzosos.,000,,,,,,
344,"Impulsar la expulsión de los inmigrantes condenados por delitos menores, de conformidad con la legislación penal y salvaguardando siempre las garantías judiciales.",000,,,,,,
345,"Proponer la puesta en marcha de mecanismos comunitarios en los siguientes ámbitos: Sistema de información Schengen de Segunda generación (SISI II), el Sistema de Información de Visados (VIS), el sistema para la comparación de huellas dactilares Eurodac y el sistema europeo de vigilancia de fronteras Eurosur.",000,,,,,,
346,Apoyar la dotación a los puestos fronterizos de más medios materiales e impulsar nuevas tecnologías de vigilancia y detección de documentos de viaje falsificados.,000,,,,,,
347,Fomentar la especialización de los funcionarios policiales en las fronteras.,000,,,,,,
348,Reforzar la cooperación entre los Estados miembros y países de origen y tránsito para luchar contra las organizaciones criminales que trafican con seres humanos y que sirven de base para la inmigración clandestina y apoyaremos que se concreten acuerdos de readmisión y cooperación facilitando ayudas comunitarias para reforzar el control de fronteras de países terceros limítrofes.,000,,,,,,
349,"Propondremos la creación de un Comisario Europeo para la Inmigración, el Asilo y la Integración.",C101,,,INTEGRACIÓN,REGULACIÓN,,
350,Impulsaremos el establecimiento un sistema de intercambio de información sobre buenas prácticas y experiencias en el ámbito de la integración a nivel comunitario y evaluaremos la eficacia de los instrumentos jurídicos existentes en el ámbito de la integración en relación con la experiencia acumulada por los Estados miembros.,C101,,,INTEGRACIÓN,REGULACIÓN,,
351,"Fomentaremos programas europeos de lucha contra la xenofobia, el racismo y la discriminación.",C102,,,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,
352,"Apoyaremos la aprobación de programas específicos de integración europeos que, en el marco de la adopción de contratos o compromisos de integración, ya vigentes en otros Estados, permitan la capacitación práctica y lingüística de los inmigrantes.",C101,,,INTEGRACIÓN,REGULACIÓN,,
353,Crear una Oficina Europea de apoyo en materia de Asilo,000,,,,,,
354,"Adoptar una definición común del ""asilo"" en el ámbito comunitario.",000,,,,,,
355,Establecer un marco procedimental y normativo común para el tratamiento de las solicitudes de asilo.,000,,,,,,
356,"Intensificar los esfuerzos para formular una verdadera política común en materia de asilo, basada en el examen individualizado de cada solicitud de protección y en la cláusula de solidaridad.",000,,,,,,
357,"velaremos por la actuación eficaz de los nuevos instrumentos de los que en materia de acción exterior se dota la Unión mediante el Tratado de Lisboa. Así, un Presidente estable del Consejo Europeo, un Alto Representante de la Unión para Asuntos Exteriores y Política de Seguridad que será al mismo tiempo Vicepresidente de la Comisión Europea y que verá reforzada su labor a través de un Servicio Exterior Europeo. Un Alto Representante que presidirá además los Consejos de Ministros de Exteriores, contribuyendo así a una mayor continuidad y coherencia de la acción exterior de la Unión.",000,,,,,,
358,"apoyaremos el desarrollo de la Política Europea de Seguridad y Defensa, utilizando los instrumentos que el Tratado de Lisboa introduce (incluyendo la llamada ""cooperación estructurada permanente"") y conforme a los nuevos objetivos que contempla. En efecto, el Tratado de Lisboa contiene una cláusula de asistencia mutua cuando un Estado Miembro es objeto de una agresión armada en su territorio. Así mismo incluye una cláusula de solidaridad entre los Estados Miembros para el caso de que uno de ellos sea objeto de ataque terrorista o catástrofe natural o de origen humano.",000,,,,,,
359,"Apoyamos la fase actual del proceso de ampliación conforme a los compromisos asumidos respecto de los países ya reconocidos como candidatos -Croacia, Turquía y Antigua Republica de Macedonia- y respecto de los países balcánicos a los que el Consejo Europeo de Tesalónica del 2003 otorgó la perspectiva de adhesión (los llamados candidatos potenciales).",000,,,,,,
360,Estos países podrán acceder a la Unión Europea siempre que cumplan plenamente las condiciones para ello.,000,,,,,,
361,"Por otra parte, la ampliación requiere que la Unión Europea tenga suficiente capacidad para integrar a los nuevos adherentes, de suerte que el proyecto de construcción europeo no se vea perjudicado. Junto a la adhesión favorecemos también la posibilidad de otras fórmulas o marcos posibles de asociación con la Unión Europea.",000,,,,,,
362,"Especialmente con los Estados Unidos, con los que compartimos valores e ideales comunes, así como muchos intereses. Compartimos una visión del orden internacional basado en principios como el estado de derecho, la democracia, el respeto de los derechos humanos, el funcionamiento eficaz de las instituciones internacionales, el Derecho Internacional y un sistema de economías abiertas e integradas. En el mundo global actual, debemos alcanzar enfoques comunes y una acción coordinada con la primera potencia del mundo, con la que la Unión Europea tiene la asociación estratégica más importante.",C101,,,RELACIONES INTERNACIONALES,"VALORES, DERECHOS Y LIBERTADES",,
363,"Para el Partido Popular es necesario fortalecer las relaciones entre la UE y la EEUU mediante un acuerdo de asociación transatlántica, que introduzca reformas en el plano institucional.",000,,,,,,
364,"Apoyamos la celebración de dos Cumbres al año (no una como hasta ahora) y la creación de un nuevo Consejo Político Trasatlántico, en el que cada tres meses los responsables de política exterior de la UE y de los EEUU celebren reuniones de consulta y coordinación. Se utilizarán así de forma eficaz en el contexto trasatlántico los nuevos órganos creados por el Tratado de Lisboa.",000,,,,,,
365,Impulsaremos el fortalecimiento del Consejo Económico Trasatlántico creado en el 2007 como instrumento para superar los obstáculos que impiden la consecución de un mercado trasatlántico integrado cuyo establecimiento nos comprometemos a promover. Debe también utilizarse para la coordinación macroeconómica entre ambas orillas del Atlántico.,000,,,,,,
366,"Promoveremos la creación de una asamblea parlamentaria conjunta, como instrumento de diálogo, debate y coordinación entre los legisladores de los dos socios transatlánticos.",000,,,,,,
367,"Reforzaremos la Asociación Transatlántica facilitando un mejor conocimiento recíproco de las sociedades civiles respectivas, en especial de las jóvenes generaciones. En este sentido, favorecemos mayores intercambios de estudiantes y profesores.",000,,,,,,
368,Desde el Parlamento Europeo continuaremos contribuyendo a hacer de las relaciones con América Latina un objetivo básico de la política exterior de la UE. El Partido Popular siempre se ha esforzado en situar las relaciones con el mundo iberoamericano en la cúspide de las prioridades de la Unión Europea.,000,,,,,,
369,"Impulsaremos las Cumbres UE-América Latina y Caribe, creadas a impulso de un Gobierno del PP hace diez años. Constituyen la manifestación tangible de la asociación birregional que estamos construyendo entre la Unión Europea y América Latina. Se trata de dos espacios poblados en total por más de mil millones de ciudadanos, un número de países que representa más de un cuarto del PIB mundial y casi un tercio de los estados miembros de Naciones Unidas. Como es sabido la Unión Europea, con España a la cabeza, es ya el primer donante, el primer inversor y el segundo socio comercial (el primero en MERCOSUR y Chile) de la región. Una dinámica que hemos contribuido a intensificar y que desearíamos se intensificara todavía más.",000,,,,,,
370,"Desde el Parlamento Europeo seguiremos insistiendo en la importancia del respeto de los derechos humanos, y manifestando nuestra disconformidad con el giro impulsado por el gobierno socialista español a la política de la Unión Europea hacia el régimen castrista; un cambio que ha supuesto en la práctica una marginación de los disidentes y una postergación de los presos políticos y de conciencia.",C101,,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,,
371,"Por otra parte, debemos seguir el ejemplo exitoso de los vigentes acuerdos de asociación firmados por la Unión Europea con México y Chile respectivamente. Por tanto, apoyamos la conclusión en breve plazo, del acuerdo de asociación con los países centroamericanos. Impulsamos igualmente la negociación con los países de la Comunidad Andina de Naciones. Con esta Comunidad, la predisposición a avanzar hacia un acuerdo de países como Colombia y Perú no ha de verse lastrada por la indisponibilidad de otros, cuya negativa a asociarse con la Unión Europea no redundará en beneficio de sus ciudadanos y sus niveles de desarrollo.",000,,,,,,
372,"Abogamos por concluir un acuerdo de asociación con el MERCOSUR, acuerdo que ha de ser beneficioso para ambas partes, y cuyas negociaciones, desgraciadamente, llevan mucho tiempo bloqueadas.",000,,,,,,
373,"Prestaremos nuestro apoyo a la consecución de fórmulas y mecanismos que garanticen la seguridad jurídica y la estabilidad de las inversiones europeas, en especial frente a medidas de nacionalización, que no respeten los derechos de los inversores.",000,,,,,,
374,"Proseguiremos el diálogo parlamentario impulsando la Asamblea Parlamentaria Euro-Latinoamericana (EUROLAT) en la que se dan cita representantes del Parlamento Europeo y de los Parlamentos Latinoamericano, Centroamericano, Andino, del MERCOSUR y del Senado y la Cámara de Diputados de México y Chile.",000,,,,,,
