,,CODIFICACIÓN,,,ETIQUETAS,,,,
246,"El Parlament Europeu ha de poder escollir el/la president/a del Consell (Presidència de la UE), -que si el Tractat de Lisboa entra en vigor, deixaria de ser rotatori entre els primers ministres de torn per passar a ser a títol personal durant dos anys i mig-, i per tant el/la president/a de la UE ha de ser votat pel Parlament.",000,,,,,,,
247,"La Comissió ha de retre comptes plenament davant del Parlament, com a element bàsic de la divisió de poders.",B202,,,RdC UE,,,,
248,Dotar la Comissió de més capacitat sancionadora sobre els governs dels estats membres que vulnerin la legislació comunitària.,000,,,,,,,
249,"Les institucions de la UE garantiran la independència absoluta dels organismes oficials, dels serveis públics i de la legislació pel que fa a les esglésies, el clericat i les influències confessionals.",000,,,,,,,
250,"Reforçar el rol dels partits polítics en l’àmbit europeu com a agents de canalització de la política europea, cal dotar les eleccions europees de llistes transnacionals que escullin part dels diputats del Parlament.",000,,,,,,,
251,"Potenciar l’associacionisme europeu com a motor de la integració i la democratització de la UE. Les associacions i ONG’s d’àmbit europeu han patit també, en els darrers anys, un empitjorament del seu diàleg amb les institucions. A ICV-EUiA reclamem que aquest diàleg torni a ser fluït i que es potenciï de forma molt més important l’associacionisme europeu.",C101,,,ASOCIACIONISMO,,,,
252,Rebaixar l'edat de vot als 16 anys. Representaria la promoció de la ciutadania europea des d'una edat prompta i l'interès per als temes europeus de les noves generacions.,C103,,,CIUDADANÍA EUROPEA,REGULACIÓN,,,
253,"Dret a vot de les persones immigrades. Cal tenir en compte, a més, que en molts casos aquestes persones “vénen a Europa” més que no pas al país concret on s'estableixen.",000,,,,,,,
254,"Impulsar els referèndums, i fer-los vinculants a tots els estats membres per a la ratificació de tractats i marcs legislatius similars. En relació a aquests textos és important que per a la seva redacció es compti amb Convencions que recullin les demandes i diferents sensibilitats dels agents socials i la societat civil organitzada.",000,,,,,,,
255,"Garantir un finançament adequat dels partits polítics a escala europea, per enfortir un veritable espai polític europeu.",000,,,,,,,
256,"Possibilitar referèndums paneuropeus i en la mateixa data, minimitzant així l'impacte de les conjuntures nacionals en el resultat de la votació. La seva aprovació seria més democràtica si es basés en una majoria qualificada de població i estats membres.",000,,,,,,,
257,"Impulsar un espai polític europeu amb el foment de l'activitat dels partits polítics europeus, que tindria com a conseqüència lògica que -si no la totalitat- una part del Parlament Europeu s'escollís per mitjà de llistes europees. Aquest fet, permetria, a més, que les diferents famílies europees presentessin, abans de les eleccions, la seva candidata o el seu candidat a la Presidència de la Comissió Europea (o fins i tot de la UE, en virtut de Lisboa), cosa que podria ser un element de judici més per als votants.",000,,,,,,,
258,"Per a l'elecció de la resta d'europarlamentaris, establir circumscripcions en clau d'euroregions transnacionals, anant així més enllà de la lògica estatalista, i fomentant la cooperació entre diferents països.",000,,,,,,,
259,"Establir a la legislació europea la paritat a les institucions europees. El Parlament Europeu ha de donar exemple i per això s'ha d'establir l'obligatorietat de llistes paritàries, per tal d'assegurar la igualtat entre el nombre de diputats i diputades.",000,,,,,,,
260,"Promoure la formació a les escoles, de tal manera que a tots els nivells curriculars s'imparteixin continguts sobre el funcionament de les institucions europees i els mecanismes d'interacció ciutadana amb aquestes.",000,,,,,,,
261,"La progressiva harmonització fiscal a la Unió Europea permetria l’establiment d’un “tram europeu” en l’impost sobre la renda, si es modifica l'actual sistema aportació estatal com a percentatge del PIB, contribuiria a l'atenció ciutadana en l'ús dels fons europeus. Aquest sistema podria ser també una porta a l'increment del pressupost de la UE. Un altre element és el del concepte legal de ciutadania europea com a tal.",000,,,,,,,
262,Ciutadania lligada a la residència i que a més doni dret a la mobilitat per tot el territori de la UE. Apostem pels visats Schengen.,000,,,,,,,
263,"La creació d’un sistema de registre obligatori, gestionat per la Comissió i amb incentius per als lobbistes, com alertes quan es discuteixen temes del seu interès.",B203,,,INFO. GRUPOS DE PRESIÓN,,,,
264,"La publicació de les audiències de gestió d’interessos dels funcionaris, fer públiques i accessibles les actes de les reunions.",B203,,,INFO. GRUPOS DE PRESIÓN,,,,
265,"Establir un codi de conducta comú per a tots els lobbistes. Desenvolupar i professionalitzar la condició de lobbista amb un sistema de control i de sancions, en cas d’irregularitats o violació del codi.",000,,,,,,,
266,Publicació del llistat de beneficiaris de subvencions estatals i autonòmiques.,B202,,,INFO. SUBVENCIONES ESTATALES Y AUTONÓMICAS,,,,
267,"267. Mecanismes simplificats de denúncia al Tribunal de Justícia de les Comunitats Europees i la Comissió Europea i de petició al Parlament Europeu, amb una facilitació dels tràmits per via electrònica que permetin efectuar-ne el seguiment. Això hauria de ser un element que permetés reduir el període de resposta de les institucions.",000,,,,,,,
268,"Fomentar un major coneixement del Defensor del Poble Europeu, la seva utilitat i les seves competències.",000,,,,,,,
269,"Obrir l'accés públic als documents i les actes del Consell, inclòs el sentit de les votacions dels Estats membres, cosa que permetria un major control de la societat civil sobre els seus governs.",B202,,,INFO. UE,,,,
270,"Donar un paper més actiu de les oficines parlamentàries en les diferent ciutats europees de les activitats de difusió ciutadana de la UE. Cal una “Aula Europa” que no només permeti difondre informació sobre el projecte europeu, sinó també impulsar debats ciutadans de fons sobre el projecte europeu i posar a la disposició de tothom instruments per adreçar-s’hi.",B201,,,INFO. UE,,,,
271,"Apropar el projecte europeu a la ciutadania a través dels nostres parlamentaris: ampliant els canals de comunicació, les atencions a persones i col·lectius, participant en campanyes informatives, usant les noves tecnologies per difondre la seva activitat, etc.",000,,,,,,,
272,"Impulsar la democràcia deliberativa i els debats europeus d’ampli abast que, a partir de les prioritats i els assumptes centrals de l’agenda política europea, generin un procés deliberatiu que permeti als ciutadans europeus entendre tant la rellevància de la política europea com la importància de la seva participació.",000,,,,,,,
273,"Generar espais i instruments per canalitzar el debat català sobre el projecte europeu: trobades sectorials i amb entitats periòdiques per informar sobre els projectes europeus i rebre opinions al respecte, pàgina web per intercanviar informació i idees sobre el projecte europeu. Cal fer un èmfasi especial en les persones migrades -sense oblidar la perspectiva de gènere- que en aquest moments no poden participar en plenitud de drets democràtics en la construcció europea. És important també treballar amb el col·lectiu juvenil en edat preelectoral.",000,,,,,,,
274,"Reconeixement de Catalunya com a nació sense estat i, en conseqüència, participació plena en les tasques d’un Consell convertit en cambra territorial, participant en l’elaboració de les polítiques europees.",000,,,,,,,
275,"Aconseguir una participació més efectiva de les comunitats autònomes en els Consells de ministres europeus, fent que el mecanisme impulsat pel govern del PSOE el 2004, i negat fins llavors pel PP, sigui un autèntic procés de participació autonòmica en l’elaboració de les polítiques europees",000,,,,,,,
276,"Organitzar políticament la nova funció que tindran els parlaments estatals en l’elaboració de legislació europea, per tal que això signifiqui un augment de la participació democràtica i no un mecanisme retrògrad i antieuropeista de defensa de competències estatals, i garantir que s’estableixin mecanismes de consulta i participació dels Parlament autonòmics en la formació de l’aportació a aquests processos colegislatius.",000,,,,,,,
277,"Elaboració d’una llei electoral que estableixi una circumscripció per a les eleccions al Parlament Europeu, formada per les comunitats de Catalunya, País Valencià, les Illes i Aragó.",000,,,,,,,
278,Reconeixement del dret a recórrer directament al Tribunal de Justícia en qüestions que afectin directament o indirectament Catalunya.,000,,,,,,,
279,Reconeixement de la llengua catalana com a llengua oficial comunitària per estendre en la pràctica l’ús del català en les institucions europees.,000,,,,,,,
280,"Pla de Desenvolupament de l’espai comunitari, com a marc de referència per integrar les diferents polítiques de la UE: l’ocupació, l’educació, l’habitatge i la promoció cultural.",000,,,,,,,
281,"Una veritable planificació territorial en l’àmbit europeu, que abordi el paper de les regions i euroregions, especialment en aquelles densament poblades i que s’estructuren en base a una xarxa de ciutats grans i mitjanes, com és el cas de Catalunya; a més, ha de donar una importància fonamental al sistema d’espais lliures, integrats pels sòls que s’han de preservar del procés edificador i de l’ocupació amb grans infraestructures, com a part d’un únic ecosistema regional.",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,
282,"Establir un “marc europeu d’actuació” en l’àmbit de la política urbana en què la UE pugui desenvolupar un paper complementari, fent més sensibles als problemes territorials i urbans totes les seves polítiques i garantint que siguin un suport actiu als esforços locals i regionals per assegurar un desenvolupament urbà sostenible.",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,
283,"Actualitzar i rellançar els processos d’Agendes 21 locals i territorials –d’àmbits molt interrelacionats- per fer possible la planificació dels recursos del territori a mitjà i llarg termini, facilitar la participació de la ciutadania i dels agents socials i contribuir al bon govern basat en el principis del desenvolupament sostenible; amb especial impuls a l’ associació entre zones urbanes i espais rurals, per ajudar-se mútuament i evitar impactes indesitjables associats a la pressió urbana, la contaminació, la captació de recursos naturals i en general la pressió urbanitzadora.",D603,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,
284,Caldrà que els estats membres i les regions amb poders legislatius i executius –amb capacitat d’intervenció en la formulació i l’execució de les polítiques comunitàries- determinin quines unitats territorials sub-regionals són més apropiades per a l’elaboració i execució dels diversos programes dels Fons Estructurals i de desenvolupament rural. Aquesta mesura descentralitzadora i de reequibilibri intern també ha de tenir aplicació a Catalunya.,000,,,,,,,
285,"Fomentar i ampliar, la cooperació transregional i transnacional, enfortir els vincles econòmics i socials entre les regions dels diferents Estats membres, i especial entre les regions transfrontereres. Cal que siguin les pròpies regions les que puguin decidir cooperar amb d’altres regions en funció no només de variables geogràfiques sinó especialment per raó de les estructures socials i econòmiques similars o complementàries",000,,,,,,,
286,"Donar més rellevància i reconèixer la capacitat d’iniciativa als poders locals, en especial a les agrupacions supramunicipals en associació amb d’altres organitzacions de base territorial i social (com les ONG’s, sindicats, organitzacions patronals, associacions de caire econòmic) per promoure experiències de cooperació interregional, per tal que es permeti apropar les polítiques de desenvolupament regional i de cooperació als diversos contextos socioeconòmics, fomentar la implicació de la societat civil i facilitar-ne la governació.",000,,,,,,,
287,"Potenciar i donar més possibilitats d’actuació a les actuals agrupacions europees de cooperació territorial ( AECT), a partir de les experiències pràctiques. Catalunya també ha d’exercir el seu protagonisme en el context de les regions econòmiques europees en avançar en la construcció de l’euroregió Pirineus-Mediterrània.",000,,,,,,,
288,"Ciutadania europea de residència, amb continguts no només polítics, sinó també socials, que expressin la solidaritat entre els ciutadans i les ciutadanes.",C101,,,CIUDADANÍA EUROPEA,,,,
289,"Subsidiarietat per definir amb precisió les tasques que corresponen a la UE i les que són competència dels estats, les regions o els municipis, i pluralitat per preservar les diversitats nacionals i regionals (polítiques, socials, culturals, lingüístiques), que són la riquesa del patrimoni europeu.",000,,,,,,,
290,"Major protagonisme dels poders regionals i dels poders locals. Per això cal que els estats membres i, per tant, també unes institucions europees que tant en l’àmbit legislatiu –Parlament i Consell Europeu- com en l’executiu –Comissió Europea- concretin i ampliïn els mecanismes comunitaris, però també els nacionals, per donar més participació directa a les regions amb poders legislatius, tant en els processos de formulació de les polítiques, directives i reglaments europeus, com en la seva aplicació, amb els canvis que calguin en l’entrament institucional dels parlaments i cambres territorials dels respectius estats membres, que incloguin regions amb poders legislatius, com és el cas d’Espanya.",000,,,,,,,
291,"Una nova configuració del Comitè de les Regions. Que les regions es pugin expressar i intervenir de forma diferenciada i amb veu pròpia en els poders locals d’Europa, d’una part, i les regions autònomes amb poders legislatius, per tal de vetllar i influir en la legislació comunitària, i garantir la transparència en la utilització dels fons comunitaris. . Això seria perfectament possible –sense modificar els tractats- amb una configuració de caràcter “bicameral” del Comitè de les",B201,,,INFO. UE,,,,
292,"Potenciar els agermanaments i les xarxes de ciutats i pobles per la sostenibilitat presents a diferents regions i comunitats de l’estat, i particularment a Catalunya, i altres xarxes d’intercanvi i cooperació entre municipis (tant en l’àmbit europeu, com d’Europa amb els països de la Mediterrània i Amèrica Llatina, entre d’altres) dotant-los de nous recursos i instruments financers.",000,,,,,,,
293,"Impulsar els moviments de defensa del territori, els veïnals, associatius i ecològics d’abast europeu, en paral·lel al que ja s’ha anat formant en el camp sindical, que vagin estenent la cultura de la solidaritat i de la dimensió global que tenen els problemes locals; que facin pedagogia de la solidaritat i de la cooperació amb altres ciutats i pobles.",000,,,,,,,
294,"Posar en funcionament els mecanismes de política exterior que preveu el Tractat de Lisboa, a través de l’acord del Consell, independentment del futur del Tractat.",000,,,,,,,
295,"Creació d’una estructura única que integri una diplomàcia pròpia , els serveis del Consell de Ministres i els de relacions internacionals de la Comissió, un ministre d’Exteriors de la UE i un sistema de presa de decisions més àgil que superi la unanimitat. Cal integrar els organismes del pilar comunitari amb la PESC.",000,,,,,,,
296,"Si no hi ha acord unànime per a la entrada en funcionament d’aquesta estructura, ICV-EUiA apostem perquè els països que hi estiguin disposats donin el pas, anat a un sistema de velocitats variables com ja el tenim amb l’eurozona.",000,,,,,,,
297,Pressionar l’Organització Mundial del Comerç perquè canviï la seva agenda liberalitzadora per una agenda sostenible; potenciar en primer lloc la reducció de la pobresa.,000,,,,,,,
298,Reforma dels subsidis a l’exportació que amenacen les economies dels països pobres.,000,,,,,,,
299,"Sancionar les pràctiques de les multinacionals europees que fan malbé el medi ambient i atempten contra els drets socials, com ho serien a l’interior d’Europa.",D203,,,INTEGRACIÓN DE POLÍTICAS,,,,
300,Obligatorietat de les clàusules ambientals en els acords comercials.,D203,,,INTEGRACIÓN DE POLÍTICAS,,,,
301,"Execució de les clàusules socials, mediambientals i de gènere de retirada del sistema de preferències generalitzades en cas de vulneració de drets bàsics.",D203,C102,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,INTEGRACIÓN DE POLÍTICAS,,
302,Revisió de la política d'acords comercials per fer-la girar entorn al desenvolupament. Acords comercials com el de pesca amb el Marroc suposen un autèntic espoli dels recursos del tercer món.,A303,,,MECANISMOS DE MERCADO,,,,
303,"Canviar les normes europees d’asil. Cal revisar la Convenció de Dublín, que pretén harmonitzar les polítiques d’asil de la UE per tal de garantir una millor protecció del demandant d’asil.",000,,,,,,,
304,"Paper actiu de la UE en la protecció dels drets dels asilats, sovint vulnerats pels estats. En el darrer mandat hem assistit a una preocupant reducció de l'acceptació de demandes d'asil a països com Espanya, i a un tractament inhumà de persones demandants d'asil a Itàlia. La UE ha de garantir que els seus estats membres compleixen la Convenció sobre l'Estatut dels refugiats de 1951.",000,,,,,,,
305,L’ajuda internacional i humanitària ha de ser també una prioritat. Ha de ser una prioritat establir un cos civil de pau europeu preparat per actuar en cas d’ajuda humanitària.,000,,,,,,,
306,S’ha de dotar de més mitjans a l’ECHO (Comissió Europea d’Ajuda Humanitària) .,000,,,,,,,
307,Desenvolupar de forma molt més important la seva tasca de prevenció de conflictes.,000,,,,,,,
308,La UE s’ha de centrar en els instruments civils de política exterior.,000,,,,,,,
309,Creació de cossos civils de pau d'àmbit europeu.,000,,,,,,,
310,Reforçar els organismes internacionals i el dret internacional.,000,,,,,,,
311,"Articular una veu única el en si de Nacions Unides, impulsar decididament la seva reforma.",000,,,,,,,
312,Garantir els compromisos internacionals amb el Sàhara.,000,,,,,,,
313,"La UE ha de tenir com a prioritats de la seva política exterior la pau, la democràcia i els drets humans.",C101,,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,,,
314,"Les clàusules “democràcia i drets humans”, incloses als acords d'associació, han de ser executades en cas de violació dels drets humans.",C102,,,ACUERDO ADHESIÓN,,,,
315,"Cal que Europa activi els seus mecanismes interns de protecció dels drets humans, com les investigacions que pot dur a terme el Consell en cas de constatació de vulneració dels drets. En els darrers anys hem assistit a un preocupant retrocés en matèria de protecció dels drets humans a Europa, especialment a països com Itàlia.",C102,,,"VALORES, DERECHOS Y LIBERTADES",REGULACIÓN,,,
316,"Reduir el volum global de la despesa militar, ajustar-lo a les veritables necessitats de l'Europa actual, dels 27, tot i reduint, alhora, els efectius de les forces armades estatals, professionalitzant-les i dotant-les d'una doctrina i un equipament eminentment defensiu, d'utilitat per participar en missions de pau i humanitàries en cooperació amb les forces de protecció civil. No volem vint-i-set exèrcits més un, sinó un sol exèrcit per a tota la Unió que permeti una reducció efectiva de la despesa militar a Europa.",000,,,,,,,
317,"Implementació de la posició comuna en el codi de conducta d'exportació d'armes de la UE, impulsat pel nostre eurodiputat Raül Romeva.",000,,,,,,,
318,Treballar per l'elaboració d'un tractat internacional sobre el comerç d'armament.,000,,,,,,,
319,"Actualitzar l'Estratègia de seguretat europea adoptada pel Consell Europeu de Brussel·les el 2003, per tal d’incorporar-hi tota la dimensió del que s’ha denominat “seguretat humana”.",000,,,,,,,
320,Actualitzar i fer complir el Tractat de no proliferació nuclear.,D502,,,GESTIÓN DE RIESGOS,,,,
321,"Desenvolupar les capacitat necessàries per tal de poder desenvolupar des de la UE totes les operacions pròpies de la PESD, sense dependre de l’OTAN ni dels estats membres.",000,,,,,,,
322,"Posar fi a la bretxa salarial, cal que es dugui a terme la revisió i l’actualització de la Directiva del Consell Europeu 75/117/CEE relativa a l’aplicació del principi d’igualtat de retribució entre els treballadors i les treballadores.",000,,,,,,,
323,"Avaluar l’estratègia de Lisboa des de la perspectiva de gènere i veure així l’impacte sobre dones i homes, especialment sobre les nombroses línies directrius en matèria de política econòmica i les directrius en matèria d’ocupació.",000,,,,,,,
324,Les condicions de treball a temps parcial i les formes precàries d’ocupació s’han de mesurar sobre la base del treball a temps complert.,000,,,,,,,
325,"Introduir nova legislació sobre l’acció positiva a favor de les dones tant en les empreses privades com en el sector públic, a fi que les dones obtinguin com a mínim el 50 %, inclosos llocs de treball de gestió, de direcció i d’alta qualificació.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
326,Promoure l’ocupació de qualitat per a les dones i que s’impulsin accions positives perquè les dones s’integrin en els nous sectors econòmics com el de les energies renovables i en aquells que creen més valor afegit com les inversions en R+D+I.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
327,Establir una política de convergència dels salaris mínims.,000,,,,,,,
328,Augmentar el suport a les iniciatives econòmiques de les dones a través de la promoció de l’emprenedoria femenina en totes les àrees i a tots els nivells.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
329,Que es consideri l’impacte de gènere en les polítiques de lluita contra l’economia submergida.,000,,,,,,,
330,Que s’incorpori la perspectiva de gènere a tots els estudis i anàlisis econòmiques i del mercat laboral que es duguin a terme.,000,,,,,,,
331,Reforma dels sistemes impositius i subsidiaris a fi de facilitar la reincorporació de les dones a la població activa i que hi romanguin. S’hauria de donar prioritat a l’abolició dels sistemes fiscals discriminatoris que desincentiven la incorporació i permanència de les dones en el mercat de treball.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
332,"Establir objectius específics sobre la igualtat de gènere per lluitar contra la pobresa i l’exclusió social, amb accions polítiques per donar suport a les famílies monoparentals i no tradicionals, i accions específiques per donar suport als grups de dones que han de fer front a un major risc de pobresa i exclusió social, com ara les dones grans, dones amb algun tipus de dependència, dones migrades, les refugiades i les que pertanyen a minories ètniques.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
333,"Impulsar mesures per oferir a les persones desfavorides, especialment a les famílies monomarentals, una «garantia d’ingressos mínims».",B103,,,GESTIÓN,RENTA BÁSICA,,,
334,Aprovar una directiva europea que prohibeixi la discriminació directa de les pensions a les dones que no s’han ocupat en el mercat laboral (perquè s’han dedicat al treball reproductiu).,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
335,"Que els estats membres individualitzin els drets de pensions, així com els drets relatius a un sistema de seguretat social.",000,,,,,,,
336,"Establir que tots els pressupostos de la UE incloguin la perspectiva de gènere. Per això, s’hauria de crear un grup de treball sobre pressupostos amb perspectiva de gènere en la Direcció General de Pressupostos.",000,,,,,,,
337,Implementar l’avaluació de l’impacte de gènere per a les despeses vinculades a tots els Fons Estructurals Europeus mitjançant un protocol.,000,,,,,,,
338,"Portar a terme una avaluació d’impacte de gènere del pressupost anual de la UE, la qual serà presentada com a document annex. Aquesta servirà com a document de control del grau d’incorporació de la perspectiva de gènere en les polítiques de la UE, sobre el qual el Comitè pels Drets de les Dones del Parlament Europeu haurà de fer un informe.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
339,Introduir un capítol pressupostari per activitats en igualtat de gènere en el pressupost de cada unitat de la Comissió.,000,,,,,,,
340,"Establir la paritat en la representació de dones i homes en la Comissió Europea, el Parlament Europeu, el Comitè Social i Econòmic i el Comitè de les Regions.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
341,"Donar suport a la participació de les dones en la política, incentivant el treball en xarxa, proveint recursos específics per a les dones candidates i liderant campanyes per promoure la participació de les dones en la política.",000,,,,,,,
342,"Els estats membres haurien de revisar les seves constitucions, legislacions i pràctiques, amb l’objectiu d’assegurar que la igualtat de gènere està considerada com un principi fonamental, i revisar l’impacte de gènere dels sistemes electorals per, d’aquesta manera, prendre mesures que assegurin una representació política equilibrada entre homes i dones.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
343,"Els partits polítics europeus haurien de considerar l’establiment d’un sistema de quotes a les seves llistes per a qualsevol òrgan a Europa, considerant alternar homes i dones als primers llocs de les llistes electorals com una de les millors maneres d’aconseguir una participació política de les dones a curt termini, proposant una adaptació de les legislacions perquè això sigui possible.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
344,"L’Institut Europeu per a la Igualtat de Gènere ha de supervisar i avaluar el grau de participació de dones i homes a la vida política i pública, establint i aplicant indicadors per la supervisió i l’avaluació sobre la base de dades segregades per sexes internacionalment comparables, així com publicar informes sobre les mesures preses i el progrés fet en la participació de les dones en la presa de decisions.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
345,"Posar en pràctica la resolució de 29 de juny de 2000 i la celebració del Consell Europeu de Barcelona de 2002 (tenint en compte també la Resolució del PE de març de 2004 i febrer de 2007, sobre la solidaritat intergeneracional).",000,,,,,,,
346,"Una nova Directiva sobre la conciliació de la vida laboral i familiar per a les persones que cuiden de familiars dependents. Els estats membres han de tenir en compte que es tingui un horari de treball flexible i millorar els horaris de les institucions d'atenció infantil, per ajudar les dones i els homes a combinar el treball i la vida personal i familiar.",000,,,,,,,
347,"El nostre posicionament sobre la Directiva 92/85 és el d’establir un permís de maternitat mínim de 24 setmanes, amb la percepció íntegra del sou.",000,,,,,,,
348,"Revisió de la Directiva del Consell 96/34/CE relativa a l'Acord marc sobre el permís parental celebrat per la UNICE, el CEEP i la CES. Aquesta hauria d’establir un permís parental de 6 setmanes amb la percepció del 100% del sou i un període opcional de 18 setmanes més amb la percepció d’entre el 80 i el 100% de les retribucions. Aquesta també s’ha d'ampliar per incloure altres formes de permisos familiars i garantir els drets de seguretat social durant aquests períodes.",000,,,,,,,
349,Revisió de la Directiva 86/613 sobre la igualtat de tracte per a les treballadores per compte propi en cas de maternitat.,000,,,,,,,
350,"La Comissió hauria de portar a terme una campanya de sensibilització i establir projectes pilot per facilitar la participació equilibrada de dones i homes en la vida professional, personal i familiar.",C101,,,IGUALDAD DE GÉNERO,,,,
351,Atorgar el dret d’asil a les dones que pateixen violència masclista.,C103,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
352,"Desenvolupar un Pla integral europeu per a l’eradicació de la violència masclista que abordi els drets de les dones des de la prevenció, l’atenció, l’assistència, la protecció, la recuperació i la reparació.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
353,Promocionar la recerca en els àmbits relacionats amb la violència masclista.,C101,,,IGUALDAD DE GÉNERO,,,,
354,Desenvolupar un protocol d’assetjament sexual i per raó de sexe a les Institucions Europees.,C102,,,IGUALDAD DE GÉNERO,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,
355,Crear una base legal clara per lluitar contra el tràfic de persones amb fins d’explotació sexual així com dels temes relacionats de la immigració i l’asil. Aquest marc legal abordarà els àmbits social i judicial per protegir i donar suport a les dones víctimes de la prostitució forçada.,000,,,,,,,
356,"Els estats membres han d’establir una legislació que reforci la persecució i la condemna dels traficants (especialment mitjançant l’establiment de penes dissuasives i efectives), tant de persones físiques com legals.",000,,,,,,,
357,Desenvolupar un Pla integral europeu per combatre la prostitució forçada.,000,,,,,,,
358,"Els estats membres han de perseguir les persones que fomenten, concerten o utilitzen serveis sexuals de menors (la definició dels quals hauria de ser la mateixa en tots els estats membres; és a dir, les persones menors de 18 anys).",000,,,,,,,
359,Els estats membres han de ratificar la Convenció del Consell Europeu contra el tràfic de persones.,000,,,,,,,
360,Les institucions de la UE i els estats membres haurien de promoure estratègies de prevenció específiques com a element clau per lluitar contra el tràfic de dones i nenes.,000,,,,,,,
361,"El Consell i la Comissió haurien de recollir dades sobre el tràfic i la tracta de persones i emprendre punts de contacte nacional o nomenar relators per recollir, intercanviar, difondre i processar informació sobre el tràfic i la tracta.",000,,,,,,,
362,"Que s’estableixi un marc legal que garanteixi els drets fonamentals de les dones i les nenes migrades i defensi la protecció de les dones que es trobin en situació irregular, enfront de qualsevol forma d’explotació.",000,,,,,,,
363,"Garantir que les dones migrades que arriben mitjançant acords de reunificació familiar gaudeixin d’un estatus legal independent de l’estatus del seu cònjuge, que inclogui permís de residència i permís de treball.",000,,,,,,,
364,"Promoure l’accés de les dones migrades a l’ocupació, assegurar una formació ocupacional adequada, adoptar mesures positives per lluitar contra la doble discriminació soferta en el mercat laboral i crear condicions favorables per a la seva incorporació en aquest.",000,,,,,,,
365,"Introduir una formació lingüística obligatòria per a les dones i les nenes migrades, per tal de facilitar-ne la integració i protegir-les de la discriminació en la família i la societat.",C102,,,INTEGRACIÓN,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,IGUALDAD DE GÉNERO,
366,"Establir programes per promoure la integració de les dones migrades que impliquin els seus cònjuges, especialment en el camp de la criança dels infants o l’accés als serveis sanitaris.",C102,,,INTEGRACIÓN,REGULACIÓN,IGUALDAD DE GÉNERO,,
367,"Incloure la perspectiva de gènere en tots els aspectes mediambientals, de salut i de seguretat.",000,,,,,,,
368,Garantir una igualtat d’accés als sistemes de salut i cura.,B102,,,ACCESO,SERVICIOS SANITARIOS,,,
369,"Incloure la perspectiva de gènere en l’assistència mèdica, així com en la investigació mèdica relacionada amb la salut i la seguretat.",000,,,,,,,
370,"Establir un marc legal europeu en drets sexuals i reproductius de les dones que inclogui polítiques de prevenció, educació i formació del personal sanitari.",B103,C103,,GESTIÓN,SERVICIOS SANITARIOS,DERECHOS SEXUALES,DERECHOS REPRODUCTIVOS,REGULACIÓN
371,"Reconeixement del dret a interrompre la gestació, segons el principi de lliure decisió de les dones.",C103,,,DERECHOS REPRODUCTIVOS,,,,
372,Millorar la salut de la dona en el treball. Les estratègies nacionals en temes de salut haurien d’incloure polítiques integrades que recollissin estàndards de salut al treball per a les dones.,000,,,,,,,
373,Analitzar i realitzar estudis de com les feines de cura dels altres provoca un esgotament psíquic i físic a les dones.,000,,,,,,,
374,Incloure formació obligatòria en desigualtats de gènere i principis ètics i morals per al personal dels serveis mèdics.,000,,,,,,,
375,Processar els metges que porten a terme mutilacions genitals i retirar-los la seva llicència mèdica.,000,,,,,,,
376,Intensificar iniciatives que siguin sensibles al gènere adreçades a temes de salut sexual i reproductiva..,000,,,,,,,
377,Millorar els estudis sobre els efectes que la liberalització comercial té sobre les dones i establir la disgregació per sexes de les estadístiques per poder fer una millor anàlisi.,000,,,,,,,
378,"Creació d’un instrument d’avaluació de l’impacte de gènere, que sigui obligatori abans del tancament dels acords comercials amb tercers països.",000,,,,,,,
379,Establiment d’una unitat de comerç i gènere a la DG Comerç.,000,,,,,,,
380,Inclusió de normes de treball en acords bilaterals i multilaterals amb tercers països amb la finalitat de millorar les condicions de treball de dones i homes.,000,,,,,,,
381,"Aixecament de totes les reserves al CEDAW (Convenció sobre l’eliminació de totes les formes de discriminació contra les dones), adoptat el 1979 per l’Assemblea de Nacions Unides, i ratificació del seu Protocol per tots els estats socis.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
